county,office,district,candidate,party,votes,early_voting,mail,election_day,provisional,
Camden,Member of Council - Unexpired Term Brooklawn Borough,,Overvotes,,0,0,0,0,0,
Camden,Member of Council - Unexpired Term Brooklawn Borough,,Undervotes,,337,31,48,253,5,
Camden,Members of Council Brooklawn Borough,,,Patricia A. McConnell,D,503,29,142,315,17
Camden,Members of Council Brooklawn Borough,,,Stacey Ostrom,D,480,24,141,300,15
Camden,Members of Council Brooklawn Borough,,,Brittany Henry,R,337,26,44,261,6
Camden,Members of Council Brooklawn Borough,,,Christopher Drummonds,R,297,26,36,228,7
Camden,Members of Council Brooklawn Borough,,,Write-In Totals,,2,0,0,2,0
Camden,Members of Council Brooklawn Borough,,,Total Votes Cast,,1619,105,363,1106,45
Camden,Members of Council Brooklawn Borough,,,Overvotes,,0,0,0,0,0
Camden,Members of Council Brooklawn Borough,,,Undervotes,,179,13,21,140,5
Camden,Member of Council - Unexpired One Year Term Cherry Hill Township,,Jill R. Hulnick,D,22711,2994,11940,7055,722,
Camden,Member of Council - Unexpired One Year Term Cherry Hill Township,,Anna R. Adler,R,13762,3134,3926,6190,512,
Camden,Member of Council - Unexpired One Year Term Cherry Hill Township,,Mohammed Jawaad Hussain,I,748,111,300,294,43,
Camden,Member of Council - Unexpired One Year Term Cherry Hill Township,,Nicole Nance,I,259,36,96,121,6,
Camden,Member of Council - Unexpired One Year Term Cherry Hill Township,,Write-In Totals,,14,1,8,5,0,
Camden,Member of Council - Unexpired One Year Term Cherry Hill Township,,Overvotes,,186,14,107,46,19,
Camden,Member of Council - Unexpired One Year Term Cherry Hill Township,,Undervotes,,4356,660,1575,1892,229,
Camden,Member of Council - Unexpired Three Year Term Cherry Hill Township,,Daniel V. DiRenzo Jr.,D,24540,3221,12789,7743,787,
Camden,Member of Council - Unexpired Three Year Term Cherry Hill Township,,Judi L. Giacoboni-Russo,R,13287,3088,3730,5981,488,
Camden,Member of Council - Unexpired Three Year Term Cherry Hill Township,,Stephen Heath Jr.,I,538,78,203,234,23,
Camden,Member of Council - Unexpired Three Year Term Cherry Hill Township,,Write-In Totals,,26,3,11,11,1,
Camden,Member of Council - Unexpired Three Year Term Cherry Hill Township,,Overvotes,,75,3,45,16,11,
Camden,Member of Council - Unexpired Three Year Term Cherry Hill Township,,Undervotes,,3570,557,1174,1618,221,
Camden,Members of Council Chesilhurst Borough,,,Cathleen Jordan,D,470,43,178,234,15
Camden,Members of Council Chesilhurst Borough,,,Pearlie C. Lee,D,470,43,179,235,13
Camden,Members of Council Chesilhurst Borough,,,Write-In Totals,,9,2,4,3,0
Camden,Members of Council Chesilhurst Borough,,,Total Votes Cast,,949,88,361,472,28
Camden,Members of Council Chesilhurst Borough,,,Overvotes,,0,0,0,0,0
Camden,Members of Council Chesilhurst Borough,,,Undervotes,,545,90,95,330,30
Camden,Members of Council Clementon Borough,,,Christopher McKelvey,D,1504,165,496,780,63
Camden,Members of Council Clementon Borough,,,Robert Dorsey,D,1477,163,487,768,59
Camden,Members of Council Clementon Borough,,,Write-In Totals,,27,4,6,16,1
Camden,Members of Council Clementon Borough,,,Total Votes Cast,,3008,332,989,1564,123
Camden,Members of Council Clementon Borough,,,Overvotes,,0,0,0,0,0
Camden,Members of Council Clementon Borough,,,Undervotes,,1528,222,309,926,71
Camden,Members of Council Gibbsboro Borough,,,Glenn Werner,I,668,66,252,332,18
Camden,Members of Council Gibbsboro Borough,,,Michael MacFerren,I,653,66,241,330,16
Camden,Members of Council Gibbsboro Borough,,,No Nomination Made,,0,0,0,0,0
Camden,Members of Council Gibbsboro Borough,,,No Nomination Made,,0,0,0,0,0
Camden,Members of Council Gibbsboro Borough,,,No Nomination Made,,0,0,0,0,0
Camden,Members of Council Gibbsboro Borough,,,No Nomination Made,,0,0,0,0,0
Camden,Members of Council Gibbsboro Borough,,,Write-In Totals,,106,1,41,64,0
Camden,Members of Council Gibbsboro Borough,,,Total Votes Cast,,1427,133,534,726,34
Camden,Members of Council Gibbsboro Borough,,,Overvotes,,0,0,0,0,0
Camden,Members of Council Gibbsboro Borough,,,Undervotes,,1197,149,394,610,44
Camden,Member of Council At-Large - Unexpired Term Gloucester City,,Edward Cilurso III,D,2309,170,753,1312,74,
Camden,Member of Council At-Large - Unexpired Term Gloucester City,,James Muller,R,1827,203,290,1253,81,
Camden,Member of Council At-Large - Unexpired Term Gloucester City,,Write-In Totals,,9,0,3,4,2,
Camden,Member of Council At-Large - Unexpired Term Gloucester City,,Overvotes,,2,1,0,1,0,
Camden,Member of Council At-Large - Unexpired Term Gloucester City,,Undervotes,,402,33,99,250,20,
Camden,Member of Council Gloucester City - Ward 1,,George Berglund,D,765,53,216,466,30,
Camden,Member of Council Gloucester City - Ward 1,,Anthony D. Kates,R,593,39,98,430,26,
Camden,Member of Council Gloucester City - Ward 1,,Write-In Totals,,1,0,1,0,0,
Camden,Member of Council Gloucester City - Ward 1,,Overvotes,,1,0,0,1,0,
Camden,Member of Council Gloucester City - Ward 1,,Undervotes,,83,7,17,56,3,
Camden,Member of Council Gloucester City - Ward 2,,"James ""Bowie"" Johnson",D,1005,87,359,534,25,
Camden,Member of Council Gloucester City - Ward 2,,"Patricia ""Patti"" Kropp",R,657,93,83,454,27,
Camden,Member of Council Gloucester City - Ward 2,,Write-In Totals,,5,1,2,1,1,
Camden,Member of Council Gloucester City - Ward 2,,Overvotes,,1,0,0,1,0,
Camden,Member of Council Gloucester City - Ward 2,,Undervotes,,112,17,18,71,6,
Camden,Member of Council Gloucester City - Ward 3,,"Deborah L. ""Debbie"" Harris",D,651,39,210,379,23,
Camden,Member of Council Gloucester City - Ward 3,,"Sandra ""Sandy"" Reed",R,579,69,121,358,31,
Camden,Member of Council Gloucester City - Ward 3,,Write-In Totals,,4,0,1,3,0,
Camden,Member of Council Gloucester City - Ward 3,,Overvotes,,2,0,0,2,0,
Camden,Member of Council Gloucester City - Ward 3,,Undervotes,,90,2,19,64,5,
Camden,Member of Council - Unexpired Term Gloucester Township,,Helen Albright Troxell,D,18111,2551,7465,7398,697,
Camden,Member of Council - Unexpired Term Gloucester Township,,Timothy J. Pfeffer,R,13526,2640,3192,7171,523,
Camden,Member of Council - Unexpired Term Gloucester Township,,Write-In Totals,,17,1,7,9,0,
Camden,Member of Council - Unexpired Term Gloucester Township,,Overvotes,,14,1,9,2,2,
Camden,Member of Council - Unexpired Term Gloucester Township,,Undervotes,,2937,496,699,1581,161,
Camden,Commissioner - Unexpired Term Haddonfield Borough,,David C. Siedell,,4312,475,2153,1546,138,
Camden,Commissioner - Unexpired Term Haddonfield Borough,,William C. Shanahan,,2448,263,1275,837,73,
Camden,Commissioner - Unexpired Term Haddonfield Borough,,Write-In Totals,,43,7,25,10,1,
Camden,Commissioner - Unexpired Term Haddonfield Borough,,Overvotes,,84,12,45,20,7,
Camden,Commissioner - Unexpired Term Haddonfield Borough,,Undervotes,,908,117,475,277,39,
Camden,Members of Council Haddon Heights Borough,,,Christopher Morgan,D,2947,259,1456,1126,106
Camden,Members of Council Haddon Heights Borough,,,Chad Demore,D,2884,260,1432,1088,104
Camden,Members of Council Haddon Heights Borough,,,Denise Bolognese,R,1747,242,448,984,73
Camden,Members of Council Haddon Heights Borough,,,Kevin Ehret,R,1735,231,444,988,72
Camden,Members of Council Haddon Heights Borough,,,Write-In Totals,,0,0,0,0,0
Camden,Members of Council Haddon Heights Borough,,,Total Votes Cast,,9313,992,3780,4186,355
Camden,Members of Council Haddon Heights Borough,,,Overvotes,,4,2,0,0,2
Camden,Members of Council Haddon Heights Borough,,,Undervotes,,617,60,184,342,31
Camden,Members of Council Hi-Nella Borough,,,Kris Muska,R,204,18,48,129,9
Camden,Members of Council Hi-Nella Borough,,,Jose Class,R,192,16,46,122,8
Camden,Members of Council Hi-Nella Borough,,,Write-In Totals,,7,2,2,3,0
Camden,Members of Council Hi-Nella Borough,,,Total Votes Cast,,403,36,96,254,17
Camden,Members of Council Hi-Nella Borough,,,Overvotes,,0,0,0,0,0
Camden,Members of Council Hi-Nella Borough,,,Undervotes,,395,28,128,222,17
Camden,Members of Council Laurel Springs Borough,,,Susan M. DiGregorio,D,683,60,256,347,20
Camden,Members of Council Laurel Springs Borough,,,James W. Redstreake,R,662,55,166,418,23
Camden,Members of Council Laurel Springs Borough,,,Write-In Totals,,10,0,1,9,0
Camden,Members of Council Laurel Springs Borough,,,Total Votes Cast,,1355,115,423,774,43
Camden,Members of Council Laurel Springs Borough,,,Overvotes,,2,0,0,2,0
Camden,Members of Council Laurel Springs Borough,,,Undervotes,,967,95,257,578,37
Camden,Members of Council Lawnside Borough,,,Dawn Wright-McLeod,D,1396,109,519,712,56
Camden,Members of Council Lawnside Borough,,,Ronald DeAbreu,D,1345,102,506,686,51
Camden,Members of Council Lawnside Borough,,,Write-In Totals,,12,0,6,5,1
Camden,Members of Council Lawnside Borough,,,Total Votes Cast,,2753,211,1031,1403,108
Camden,Members of Council Lawnside Borough,,,Overvotes,,0,0,0,0,0
Camden,Members of Council Lawnside Borough,,,Undervotes,,463,45,123,265,30
Camden,Members of Council Lindenwold Borough,,,Cheryle Randolph-Sharpe,D,4543,490,1626,2244,183
Camden,Members of Council Lindenwold Borough,,,Odessa Patton,D,4479,485,1607,2208,179
Camden,Members of Council Lindenwold Borough,,,Write-In Totals,,50,5,31,14,0
Camden,Members of Council Lindenwold Borough,,,Total Votes Cast,,9072,980,3264,4466,362
Camden,Members of Council Lindenwold Borough,,,Overvotes,,0,0,0,0,0
Camden,Members of Council Lindenwold Borough,,,Undervotes,,3412,468,808,1952,184
Camden,Members of Council Magnolia Borough,,,Shelley Wilson,D,1577,144,457,914,62
Camden,Members of Council Magnolia Borough,,,Shawn Parker,D,1568,140,455,913,60
Camden,Members of Council Magnolia Borough,,,No Nomination Made,,0,0,0,0,0
Camden,Members of Council Magnolia Borough,,,Write-In Totals,,24,8,8,8,0
Camden,Members of Council Magnolia Borough,,,Total Votes Cast,,3169,292,920,1835,122
Camden,Members of Council Magnolia Borough,,,Overvotes,,0,0,0,0,0
Camden,Members of Council Magnolia Borough,,,Undervotes,,1467,208,254,933,72
Camden,Members of Council Merchantville Borough,,,Eric P. Benjamin,D,1341,163,496,638,44
Camden,Members of Council Merchantville Borough,,,Daniel J. Sperrazza,D,1329,163,490,632,44
Camden,Members of Council Merchantville Borough,,,Write-In Totals,,35,5,18,10,2
Camden,Members of Council Merchantville Borough,,,Total Votes Cast,,2705,331,1004,1280,90
Camden,Members of Council Merchantville Borough,,,Overvotes,,0,0,0,0,0
Camden,Members of Council Merchantville Borough,,,Undervotes,,1241,213,280,694,54
Camden,Member of Council - Unexpired Term Oaklyn Borough,,Sarah McCleery-Cairns,D,1592,176,579,802,35,
Camden,Member of Council - Unexpired Term Oaklyn Borough,,Write-In Totals,,12,0,5,6,1,
Camden,Member of Council - Unexpired Term Oaklyn Borough,,Overvotes,,0,0,0,0,0,
Camden,Member of Council - Unexpired Term Oaklyn Borough,,Undervotes,,713,98,124,463,28,
Camden,Members of Council Oaklyn Borough,,,Nancy MacGregor,D,1685,182,597,865,41
Camden,Members of Council Oaklyn Borough,,,David T. Wright,D,1637,178,589,831,39
Camden,Members of Council Oaklyn Borough,,,Write-In Totals,,18,0,4,14,0
Camden,Members of Council Oaklyn Borough,,,Total Votes Cast,,3340,360,1190,1710,80
Camden,Members of Council Oaklyn Borough,,,Overvotes,,2,0,2,0,0
Camden,Members of Council Oaklyn Borough,,,Undervotes,,1292,188,224,832,48
Camden,Members of Township Committee Pennsauken Township,,,Jessica Rafeh,D,10785,1122,3670,5592,401
Camden,Members of Township Committee Pennsauken Township,,,Marco DiBattista,D,10714,1127,,,
