county,precinct,office,district,party,candidate,votes,early_voting,election_day,mail,provisional,federal
Sussex,"Andover Twp, District 2",President,,GRN,Jill Stein,0,,,,,
Sussex,"Andover Twp, District 2",President,,,Claudia De la Cruz,0,,,,,
Sussex,"Andover Twp, District 2",President,,SWP,Rachele Fruit,0,,,,,
Sussex,"Andover Twp, District 2",President,,,Joseph Kishore,0,,,,,
Sussex,"Andover Twp, District 2",President,,,Write-In Totals,1,,,,,
Sussex,"Andover Twp, District 2",U.S. Senate,,DEM,Andy Kim,166,,,,,
Sussex,"Andover Twp, District 2",U.S. Senate,,REP,Curtis Bashaw,283,,,,,
Sussex,"Andover Twp, District 2",U.S. Senate,,SWP,Joanne Kuniansky,0,,,,,
Sussex,"Andover Twp, District 2",U.S. Senate,,GRN,Christina Khalil,1,,,,,
Sussex,"Andover Twp, District 2",U.S. Senate,,,Patricia G. Mooneyham,3,,,,,
Sussex,"Andover Twp, District 2",U.S. Senate,,LIB,Kenneth R. Kaplan,2,,,,,
Sussex,"Andover Twp, District 2",U.S. Senate,,,Write-In Totals,0,,,,,
Sussex,"Andover Twp, District 2",U.S.House,5,DEM,Josh Gottheimer,178,,,,,
Sussex,"Andover Twp, District 2",U.S.House,5,REP,Mary Jo Guinchard,272,,,,,
Sussex,"Andover Twp, District 2",U.S.House,5,GRN,Beau Forte,3,,,,,
Sussex,"Andover Twp, District 2",U.S.House,5,LIB,James Tosone,2,,,,,
Sussex,"Andover Twp, District 2",U.S.House,5,,Aamir Arif,0,,,,,
Sussex,"Andover Twp, District 2",U.S.House,5,,Write-In Totals,0,,,,,
Sussex,"Andover Twp, District 2",COUNTY COMMISSIONER,,DEM,Jason P.L. Boehm,153,,,,,
Sussex,"Andover Twp, District 2",COUNTY COMMISSIONER,,,No Nomination Made,0,,,,,
Sussex,"Andover Twp, District 2",COUNTY COMMISSIONER,,REP,Christopher Carney,294,,,,,
Sussex,"Andover Twp, District 2",COUNTY COMMISSIONER,,REP,Alan Henderson,223,,,,,
Sussex,"Andover Twp, District 2",COUNTY COMMISSIONER,,,Write-In Totals,7,,,,,
Sussex,"Andover Twp, District 2",TOWNSHIP COMMITTEE Andover Township,,,No Nomination Made,0,,,,,
Sussex,"Andover Twp, District 2",TOWNSHIP COMMITTEE Andover Township,,,No Nomination Made,0,,,,,
Sussex,"Andover Twp, District 2",TOWNSHIP COMMITTEE Andover Township,,REP,Krista Gilchrist,343,,,,,
Sussex,"Andover Twp, District 2",TOWNSHIP COMMITTEE Andover Township,,REP,Eric Karr,303,,,,,
Sussex,"Andover Twp, District 2",TOWNSHIP COMMITTEE Andover Township,,,Write-In Totals,16,,,,,
Sussex,"Andover Twp, District 2",MEMBERSHIP TO BOE - Andover Rgnl - Andover Twp,,,Brian Hertenstein,195,,,,,
Sussex,"Andover Twp, District 2",MEMBERSHIP TO BOE - Andover Rgnl - Andover Twp,,,Lena Sciroppo,223,,,,,
Sussex,"Andover Twp, District 2",MEMBERSHIP TO BOE - Andover Rgnl - Andover Twp,,,Jeffrey Neubig,192,,,,,
Sussex,"Andover Twp, District 2",MEMBERSHIP TO BOE - Andover Rgnl - Andover Twp,,,"Margaret ""Peggy"" Widgren",234,,,,,
Sussex,"Andover Twp, District 2",MEMBERSHIP TO BOE - Andover Rgnl - Andover Twp,,,Write-In Totals,11,,,,,
Sussex,"Andover Twp, District 3",Registered Voters,,,,945,,,,,
Sussex,"Andover Twp, District 3",Ballots Cast,,,,675,211,362,95,6,1
Sussex,"Andover Twp, District 3",President,,DEM,Kamala D. Harris,246,,,,,
Sussex,"Andover Twp, District 3",President,,REP,Donald J. Trump,413,,,,,
Sussex,"Andover Twp, District 3",President,,CST,Randall A. Terry,1,,,,,
Sussex,"Andover Twp, District 3",President,,IND,Robert F. Kennedy Jr.,4,,,,,
Sussex,"Andover Twp, District 3",President,,LIB,Chase Oliver,4,,,,,
Sussex,"Andover Twp, District 3",President,,GRN,Jill Stein,3,,,,,
Sussex,"Andover Twp, District 3",President,,,Claudia De la Cruz,1,,,,,
Sussex,"Andover Twp, District 3",President,,SWP,Rachele Fruit,0,,,,,
Sussex,"Andover Twp, District 3",President,,,Joseph Kishore,1,,,,,
Sussex,"Andover Twp, District 3",President,,,Write-In Totals,1,,,,,
Sussex,"Andover Twp, District 3",U.S. Senate,,DEM,Andy Kim,243,,,,,
Sussex,"Andover Twp, District 3",U.S. Senate,,REP,Curtis Bashaw,385,,,,,
Sussex,"Andover Twp, District 3",U.S. Senate,,SWP,Joanne Kuniansky,6,,,,,
Sussex,"Andover Twp, District 3",U.S. Senate,,GRN,Christina Khalil,9,,,,,
Sussex,"Andover Twp, District 3",U.S. Senate,,,Patricia G. Mooneyham,3,,,,,
Sussex,"Andover Twp, District 3",U.S. Senate,,LIB,Kenneth R. Kaplan,9,,,,,
Sussex,"Andover Twp, District 3",U.S. Senate,,,Write-In Totals,2,,,,,
Sussex,"Andover Twp, District 3",U.S.House,5,DEM,Josh Gottheimer,262,,,,,
Sussex,"Andover Twp, District 3",U.S.House,5,REP,Mary Jo Guinchard,383,,,,,
Sussex,"Andover Twp, District 3",U.S.House,5,GRN,Beau Forte,7,,,,,
Sussex,"Andover Twp, District 3",U.S.House,5,LIB,James Tosone,5,,,,,
Sussex,"Andover Twp, District 3",U.S.House,5,,Aamir Arif,1,,,,,
Sussex,"Andover Twp, District 3",U.S.House,5,,Write-In Totals,1,,,,,
Sussex,"Andover Twp, District 3",COUNTY COMMISSIONER,,DEM,Jason P.L. Boehm,232,,,,,
Sussex,"Andover Twp, District 3",COUNTY COMMISSIONER,,,No Nomination Made,0,,,,,
Sussex,"Andover Twp, District 3",COUNTY COMMISSIONER,,REP,Christopher Carney,401,,,,,
Sussex,"Andover Twp, District 3",COUNTY COMMISSIONER,,REP,Alan Henderson,309,,,,,
Sussex,"Andover Twp, District 3",COUNTY COMMISSIONER,,,Write-In Totals,12,,,,,
Sussex,"Andover Twp, District 3",TOWNSHIP COMMITTEE Andover Township,,,No Nomination Made,0,,,,,
Sussex,"Andover Twp, District 3",TOWNSHIP COMMITTEE Andover Township,,,No Nomination Made,0,,,,,
Sussex,"Andover Twp, District 3",TOWNSHIP COMMITTEE Andover Township,,REP,Krista Gilchrist,471,,,,,
Sussex,"Andover Twp, District 3",TOWNSHIP COMMITTEE Andover Township,,REP,Eric Karr,401,,,,,
Sussex,"Andover Twp, District 3",TOWNSHIP COMMITTEE Andover Township,,,Write-In Totals,25,,,,,
Sussex,"Andover Twp, District 3",MEMBERSHIP TO BOE - Andover Rgnl - Andover Twp,,,Brian Hertenstein,285,,,,,
Sussex,"Andover Twp, District 3",MEMBERSHIP TO BOE - Andover Rgnl - Andover Twp,,,Lena Sciroppo,319,,,,,
Sussex,"Andover Twp, District 3",MEMBERSHIP TO BOE - Andover Rgnl - Andover Twp,,,Jeffrey Neubig,263,,,,,
Sussex,"Andover Twp, District 3",MEMBERSHIP TO BOE - Andover Rgnl - Andover Twp,,,"Margaret ""Peggy"" Widgren",338,,,,,
Sussex,"Andover Twp, District 3",MEMBERSHIP TO BOE - Andover Rgnl - Andover Twp,,,Write-In Totals,17,,,,,
Sussex,"Andover Twp, District 4",Registered Voters,,,,474,,,,,
Sussex,"Andover Twp, District 4",Ballots Cast,,,,355,106,195,47,3,4
Sussex,"Andover Twp, District 4",President,,DEM,Kamala D. Harris,133,,,,,
Sussex,"Andover Twp, District 4",President,,REP,Donald J. Trump,213,,,,,
Sussex,"Andover Twp, District 4",President,,CST,Randall A. Terry,0,,,,,
Sussex,"Andover Twp, District 4",President,,IND,Robert F. Kennedy Jr.,4,,,,,
Sussex,"Andover Twp, District 4",President,,LIB,Chase Oliver,2,,,,,
Sussex,"Andover Twp, District 4",President,,GRN,Jill Stein,1,,,,,
Sussex,"Andover Twp, District 4",President,,,Claudia De la Cruz,0,,,,,
Sussex,"Andover Twp, District 4",President,,SWP,Rachele Fruit,0,,,,,
Sussex,"Andover Twp, District 4",President,,,Joseph Kishore,0,,,,,
Sussex,"Andover Twp, District 4",President,,,Write-In Totals,2,,,,,
Sussex,"Andover Twp, District 4",U.S. Senate,,DEM,Andy Kim,123,,,,,
Sussex,"Andover Twp, District 4",U.S. Senate,,REP,Curtis Bashaw,200,,,,,
Sussex,"Andover Twp, District 4",U.S. Senate,,SWP,Joanne Kuniansky,2,,,,,
Sussex,"Andover Twp, District 4",U.S. Senate,,GRN,Christina Khalil,6,,,,,
Sussex,"Andover Twp, District 4",U.S. Senate,,,Patricia G. Mooneyham,1,,,,,
Sussex,"Andover Twp, District 4",U.S. Senate,,LIB,Kenneth R. Kaplan,8,,,,,
Sussex,"Andover Twp, District 4",U.S. Senate,,,Write-In Totals,0,,,,,
Sussex,"Andover Twp, District 4",U.S.House,5,DEM,Josh Gottheimer,148,,,,,
Sussex,"Andover Twp, District 4",U.S.House,5,REP,Mary Jo Guinchard,180,,,,,
Sussex,"Andover Twp, District 4",U.S.House,5,GRN,Beau Forte,4,,,,,
Sussex,"Andover Twp, District 4",U.S.House,5,LIB,James Tosone,5,,,,,
Sussex,"Andover Twp, District 4",U.S.House,5,,Aamir Arif,1,,,,,
Sussex,"Andover Twp, District 4",U.S.House,5,,Write-In Totals,0,,,,,
Sussex,"Andover Twp, District 4",COUNTY COMMISSIONER,,DEM,Jason P.L. Boehm,116,,,,,
Sussex,"Andover Twp, District 4",COUNTY COMMISSIONER,,,No Nomination Made,0,,,,,
Sussex,"Andover Twp, District 4",COUNTY COMMISSIONER,,REP,Christopher Carney,202,,,,,
Sussex,"Andover Twp, District 4",COUNTY COMMISSIONER,,REP,Alan Henderson,159,,,,,
Sussex,"Andover Twp, District 4",COUNTY COMMISSIONER,,,Write-In Totals,4,,,,,
Sussex,"Andover Twp, District 4",TOWNSHIP COMMITTEE Andover Township,,,No Nomination Made,0,,,,,
Sussex,"Andover Twp, District 4",TOWNSHIP COMMITTEE Andover Township,,,No Nomination Made,0,,,,,
Sussex,"Andover Twp, District 4",TOWNSHIP COMMITTEE Andover Township,,REP,Krista Gilchrist,234,,,,,
Sussex,"Andover Twp, District 4",TOWNSHIP COMMITTEE Andover Township,,REP,Eric Karr,200,,,,,
Sussex,"Andover Twp, District 4",TOWNSHIP COMMITTEE Andover Township,,,Write-In Totals,20,,,,,
Sussex,"Andover Twp, District 4",MEMBERSHIP TO BOE - Andover Rgnl - Andover Twp,,,Brian Hertenstein,156,,,,,
Sussex,"Andover Twp, District 4",MEMBERSHIP TO BOE - Andover Rgnl - Andover Twp,,,Lena Sciroppo,170,,,,,
Sussex,"Andover Twp, District 4",MEMBERSHIP TO BOE - Andover Rgnl - Andover Twp,,,Jeffrey Neubig,128,,,,,
Sussex,"Andover Twp, District 4",MEMBERSHIP TO BOE - Andover Rgnl - Andover Twp,,,"Margaret ""Peggy"" Widgren",179,,,,,
Sussex,"Andover Twp, District 4",MEMBERSHIP TO BOE - Andover Rgnl - Andover Twp,,,Write-In Totals,8,,,,,
Sussex,"Andover Twp, District 5",Registered Voters,,,,703,,,,,
Sussex,"Andover Twp, District 5",Ballots Cast,,,,524,140,314,65,5,0
Sussex,"Andover Twp, District 5",President,,DEM,Kamala D. Harris,201,,,,,
Sussex,"Andover Twp, District 5",President,,REP,Donald J. Trump,304,,,,,
Sussex,"Andover Twp, District 5",President,,CST,Randall A. Terry,0,,,,,
Sussex,"Andover Twp, District 5",President,,IND,Robert F. Kennedy Jr.,7,,,,,
Sussex,"Andover Twp, District 5",President,,LIB,Chase Oliver,3,,,,,
Sussex,"Andover Twp, District 5",President,,GRN,Jill Stein,3,,,,,
Sussex,"Andover Twp, District 5",President,,,Claudia De la Cruz,0,,,,,
Sussex,"Andover Twp, District 5",President,,SWP,Rachele Fruit,0,,,,,
Sussex,"Andover Twp, District 5",President,,,Joseph Kishore,0,,,,,
Sussex,"Andover Twp, District 5",President,,,Write-In Totals,4,,,,,
Sussex,"Andover Twp, District 5",U.S. Senate,,DEM,Andy Kim,198,,,,,
Sussex,"Andover Twp, District 5",U.S. Senate,,REP,Curtis Bashaw,294,,,,,
Sussex,"Andover Twp, District 5",U.S. Senate,,SWP,Joanne Kuniansky,0,,,,,
Sussex,"Andover Twp, District 5",U.S. Senate,,GRN,Christina Khalil,8,,,,,
Sussex,"Andover Twp, District 5",U.S. Senate,,,Patricia G. Mooneyham,4,,,,,
Sussex,"Andover Twp, District 5",U.S. Senate,,LIB,Kenneth R. Kaplan,7,,,,,
Sussex,"Andover Twp, District 5",U.S. Senate,,,Write-In Totals,2,,,,,
Sussex,"Andover Twp, District 5",U.S.House,5,DEM,Josh Gottheimer,232,,,,,
Sussex,"Andover Twp, District 5",U.S.House,5,REP,Mary Jo Guinchard,264,,,,,
Sussex,"Andover Twp, District 5",U.S.House,5,GRN,Beau Forte,7,,,,,
Sussex,"Andover Twp, District 5",U.S.House,5,LIB,James Tosone,7,,,,,
Sussex,"Andover Twp, District 5",U.S.House,5,,Aamir Arif,3,,,,,
Sussex,"Andover Twp, District 5",U.S.House,5,,Write-In Totals,0,,,,,
Sussex,"Andover Twp, District 5",COUNTY COMMISSIONER,,DEM,Jason P.L. Boehm,188,,,,,
Sussex,"Andover Twp, District 5",COUNTY COMMISSIONER,,,No Nomination Made,0,,,,,
Sussex,"Andover Twp, District 5",COUNTY COMMISSIONER,,REP,Christopher Carney,312,,,,,
Sussex,"Andover Twp, District 5",COUNTY COMMISSIONER,,REP,Alan Henderson,242,,,,,
Sussex,"Andover Twp, District 5",COUNTY COMMISSIONER,,,Write-In Totals,8,,,,,
Sussex,"Andover Twp, District 5",TOWNSHIP COMMITTEE Andover Township,,,No Nomination Made,0,,,,,
Sussex,"Andover Twp, District 5",TOWNSHIP COMMITTEE Andover Township,,,No Nomination Made,0,,,,,
Sussex,"Andover Twp, District 5",TOWNSHIP COMMITTEE Andover Township,,REP,Krista Gilchrist,348,,,,,
Sussex,"Andover Twp, District 5",TOWNSHIP COMMITTEE Andover Township,,REP,Eric Karr,331,,,,,
Sussex,"Andover Twp, District 5",TOWNSHIP COMMITTEE Andover Township,,,Write-In Totals,25,,,,,
Sussex,"Andover Twp, District 5",MEMBERSHIP TO BOE - Andover Rgnl - Andover Twp,,,Brian Hertenstein,224,,,,,
Sussex,"Andover Twp, District 5",MEMBERSHIP TO BOE - Andover Rgnl - Andover Twp,,,Lena Sciroppo,226,,,,,
Sussex,"Andover Twp, District 5",MEMBERSHIP TO BOE - Andover Rgnl - Andover Twp,,,Jeffrey Neubig,210,,,,,
Sussex,"Andover Twp, District 5",MEMBERSHIP TO BOE - Andover Rgnl - Andover Twp,,,"Margaret ""Peggy"" Widgren",361,,,,,
Sussex,"Andover Twp, District 5",MEMBERSHIP TO BOE - Andover Rgnl - Andover Twp,,,Write-In Totals,7,,,,,
Sussex,"Andover Twp, District 6",Registered Voters,,,,899,,,,,
Sussex,"Andover Twp, District 6",Ballots Cast,,,,662,207,373,77,3,2
Sussex,"Andover Twp, District 6",President,,DEM,Kamala D. Harris,215,,,,,
Sussex,"Andover Twp, District 6",President,,REP,Donald J. Trump,429,,,,,
Sussex,"Andover Twp, District 6",President,,CST,Randall A. Terry,0,,,,,
Sussex,"Andover Twp, District 6",President,,IND,Robert F. Kennedy Jr.,6,,,,,
Sussex,"Andover Twp, District 6",President,,LIB,Chase Oliver,1,,,,,
Sussex,"Andover Twp, District 6",President,,GRN,Jill Stein,6,,,,,
Sussex,"Andover Twp, District 6",President,,,Claudia De la Cruz,0,,,,,
Sussex,"Andover Twp, District 6",President,,SWP,Rachele Fruit,0,,,,,
Sussex,"Andover Twp, District 6",President,,,Joseph Kishore,0,,,,,
Sussex,"Andover Twp, District 6",President,,,Write-In Totals,3,,,,,
Sussex,"Andover Twp, District 6",U.S. Senate,,DEM,Andy Kim,217,,,,,
Sussex,"Andover Twp, District 6",U.S. Senate,,REP,Curtis Bashaw,394,,,,,
Sussex,"Andover Twp, District 6",U.S. Senate,,SWP,Joanne Kuniansky,3,,,,,
Sussex,"Andover Twp, District 6",U.S. Senate,,GRN,Christina Khalil,10,,,,,
Sussex,"Andover Twp, District 6",U.S. Senate,,,Patricia G. Mooneyham,3,,,,,
Sussex,"Andover Twp, District 6",U.S. Senate,,LIB,Kenneth R. Kaplan,10,,,,,
Sussex,"Andover Twp, District 6",U.S. Senate,,,Write-In Totals,0,,,,,
Sussex,"Andover Twp, District 6",U.S.House,5,DEM,Josh Gottheimer,237,,,,,
Sussex,"Andover Twp, District 6",U.S.House,5,REP,Mary Jo Guinchard,383,,,,,
Sussex,"Andover Twp, District 6",U.S.House,5,GRN,Beau Forte,10,,,,,
Sussex,"Andover Twp, District 6",U.S.House,5,LIB,James Tosone,7,,,,,
Sussex,"Andover Twp, District 6",U.S.House,5,,Aamir Arif,2,,,,,
Sussex,"Andover Twp, District 6",U.S.House,5,,Write-In Totals,0,,,,,
Sussex,"Andover Twp, District 6",COUNTY COMMISSIONER,,DEM,Jason P.L. Boehm,207,,,,,
Sussex,"Andover Twp, District 6",COUNTY COMMISSIONER,,,No Nomination Made,0,,,,,
Sussex,"Andover Twp, District 6",COUNTY COMMISSIONER,,REP,Christopher Carney,407,,,,,
Sussex,"Andover Twp, District 6",COUNTY COMMISSIONER,,REP,Alan Henderson,324,,,,,
Sussex,"Andover Twp, District 6",COUNTY COMMISSIONER,,,Write-In Totals,8,,,,,
Sussex,"Andover Twp, District 6",TOWNSHIP COMMITTEE Andover Township,,,No Nomination Made,0,,,,,
Sussex,"Andover Twp, District 6",TOWNSHIP COMMITTEE Andover Township,,,No Nomination Made,0,,,,,
Sussex,"Andover Twp, District 6",TOWNSHIP COMMITTEE Andover Township,,REP,Krista Gilchrist,468,,,,,
Sussex,"Andover Twp, District 6",TOWNSHIP COMMITTEE Andover Township,,REP,Eric Karr,440,,,,,
Sussex,"Andover Twp, District 6",TOWNSHIP COMMITTEE Andover Township,,,Write-In Totals,18,,,,,
Sussex,"Andover Twp, District 6",MEMBERSHIP TO BOE - Andover Rgnl - Andover Twp,,,Brian Hertenstein,339,,,,,
Sussex,"Andover Twp, District 6",MEMBERSHIP TO BOE - Andover Rgnl - Andover Twp,,,Lena Sciroppo,329,,,,,
Sussex,"Andover Twp, District 6",MEMBERSHIP TO BOE - Andover Rgnl - Andover Twp,,,Jeffrey Neubig,288,,,,,
Sussex,"Andover Twp, District 6",MEMBERSHIP TO BOE - Andover Rgnl - Andover Twp,,,"Margaret ""Peggy"" Widgren",316,,,,,
Sussex,"Andover Twp, District 6",MEMBERSHIP TO BOE - Andover Rgnl - Andover Twp,,,Write-In Totals,13,,,,,
Sussex,"Branchville Boro, District 1",Registered Voters,,,,675,,,,,
Sussex,"Branchville Boro, District 1",Ballots Cast,,,,489,77,342,67,2,1
Sussex,"Branchville Boro, District 1",President,,DEM,Kamala D. Harris,171,,,,,
Sussex,"Branchville Boro, District 1",President,,REP,Donald J. Trump,308,,,,,
Sussex,"Branchville Boro, District 1",President,,CST,Randall A. Terry,1,,,,,
Sussex,"Branchville Boro, District 1",President,,IND,Robert F. Kennedy Jr.,2,,,,,
Sussex,"Branchville Boro, District 1",President,,LIB,Chase Oliver,2,,,,,
Sussex,"Branchville Boro, District 1",President,,GRN,Jill Stein,3,,,,,
Sussex,"Branchville Boro, District 1",President,,,Claudia De la Cruz,0,,,,,
Sussex,"Branchville Boro, District 1",President,,SWP,Rachele Fruit,0,,,,,
Sussex,"Branchville Boro, District 1",President,,,Joseph Kishore,0,,,,,
Sussex,"Branchville Boro, District 1",President,,,Write-In Totals,1,,,,,
Sussex,"Branchville Boro, District 1",U.S. Senate,,DEM,Andy Kim,171,,,,,
Sussex,"Branchville Boro, District 1",U.S. Senate,,REP,Curtis Bashaw,287,,,,,
Sussex,"Branchville Boro, District 1",U.S. Senate,,SWP,Joanne Kuniansky,2,,,,,
Sussex,"Branchville Boro, District 1",U.S. Senate,,GRN,Christina Khalil,2,,,,,
Sussex,"Branchville Boro, District 1",U.S. Senate,,,Patricia G. Mooneyham,0,,,,,
Sussex,"Branchville Boro, District 1",U.S. Senate,,LIB,Kenneth R. Kaplan,4,,,,,
Sussex,"Branchville Boro, District 1",U.S. Senate,,,Write-In Totals,0,,,,,
