county,precinct,office,district,candidate,party,votes,election_day,mail,early_voting,provisional,emergency,federal
Gloucester,Clayton Borough - District 1,COUNCIL - BOROUGH OF CLAYTON,,FRANK ROLLO,,429,,,,,,
Gloucester,Clayton Borough - District 1,COUNCIL - BOROUGH OF CLAYTON,,Write-ins,,2,,,,,,
Gloucester,Clayton Borough - District 1,BOARD OF EDUCATION - CLAYTON - 3YR TERM,,ROBIN L. ROCHE,,425,,,,,,
Gloucester,Clayton Borough - District 1,BOARD OF EDUCATION - CLAYTON - 3YR TERM,,ALLAN PAUL CONNELL,,402,,,,,,
Gloucester,Clayton Borough - District 1,BOARD OF EDUCATION - CLAYTON - 3YR TERM,,NO PETITION FILED,,0,,,,,,
Gloucester,Clayton Borough - District 1,BOARD OF EDUCATION - CLAYTON - 3YR TERM,,Write-ins,,41,,,,,,
Gloucester,Clayton Borough - District 2,Registered Voters,,,,871,,,,,,
Gloucester,Clayton Borough - District 2,Ballots Cast,,,,616,326,112,167,11,0,0
Gloucester,Clayton Borough - District 2,Ballots Cast - Blank,,,,0,0,0,0,0,0,0
Gloucester,Clayton Borough - District 2,President,,DONALD J. TRUMP,,268,,,,,,
Gloucester,Clayton Borough - District 2,President,,KAMALA D. HARRIS,,318,,,,,,
Gloucester,Clayton Borough - District 2,President,,ROBERT F. KENNEDY JR.,,11,,,,,,
Gloucester,Clayton Borough - District 2,President,,RACHELE FRUIT,,0,,,,,,
Gloucester,Clayton Borough - District 2,President,,RANDALL A. TERRY,,0,,,,,,
Gloucester,Clayton Borough - District 2,President,,JOSEPH KISHORE,,1,,,,,,
Gloucester,Clayton Borough - District 2,President,,CLAUDIA DE LA CRUZ,,2,,,,,,
Gloucester,Clayton Borough - District 2,President,,JILL STEIN,,4,,,,,,
Gloucester,Clayton Borough - District 2,President,,CHASE OLIVER,,1,,,,,,
Gloucester,Clayton Borough - District 2,President,,Write-ins,,4,,,,,,
Gloucester,Clayton Borough - District 2,U.S. Senate,,CURTIS BASHAW,,262,,,,,,
Gloucester,Clayton Borough - District 2,U.S. Senate,,ANDY KIM,,314,,,,,,
Gloucester,Clayton Borough - District 2,U.S. Senate,,JOANNE KUNIANSKY,,3,,,,,,
Gloucester,Clayton Borough - District 2,U.S. Senate,,CHRISTINA KHALIL,,3,,,,,,
Gloucester,Clayton Borough - District 2,U.S. Senate,,KENNETH R. KAPLAN,,2,,,,,,
Gloucester,Clayton Borough - District 2,U.S. Senate,,PATRICIA G. MOONEYHAM,,1,,,,,,
Gloucester,Clayton Borough - District 2,U.S. Senate,,Write-ins,,1,,,,,,
Gloucester,Clayton Borough - District 2,U.S. House,2,JEFF VAN DREW,,272,,,,,,
Gloucester,Clayton Borough - District 2,U.S. House,2,JOSEPH F. SALERNO,,315,,,,,,
Gloucester,Clayton Borough - District 2,U.S. House,2,THOMAS CANNAVO,,3,,,,,,
Gloucester,Clayton Borough - District 2,U.S. House,2,Write-ins,,1,,,,,,
Gloucester,Clayton Borough - District 2,SHERIFF,,JONATHAN M. SAMMONS,,263,,,,,,
Gloucester,Clayton Borough - District 2,SHERIFF,,CARMEL MORINA,,323,,,,,,
Gloucester,Clayton Borough - District 2,SHERIFF,,Write-ins,,0,,,,,,
Gloucester,Clayton Borough - District 2,COUNTY COMMISSIONER,,NICHOLAS DESILVIO,,242,,,,,,
Gloucester,Clayton Borough - District 2,COUNTY COMMISSIONER,,CHRISTOPHER KONAWEL,,251,,,,,,
Gloucester,Clayton Borough - District 2,COUNTY COMMISSIONER,,TOM BIANCO,,356,,,,,,
Gloucester,Clayton Borough - District 2,COUNTY COMMISSIONER,,DON HEVERLY,,321,,,,,,
Gloucester,Clayton Borough - District 2,COUNTY COMMISSIONER,,Write-ins,,2,,,,,,
Gloucester,Clayton Borough - District 2,COUNCIL - BOROUGH OF CLAYTON,,RONALD PINCHICK,,237,,,,,,
Gloucester,Clayton Borough - District 2,COUNCIL - BOROUGH OF CLAYTON,,JAMES RICHARDSON,,231,,,,,,
Gloucester,Clayton Borough - District 2,COUNCIL - BOROUGH OF CLAYTON,,DAVID CHAPES,,340,,,,,,
Gloucester,Clayton Borough - District 2,COUNCIL - BOROUGH OF CLAYTON,,FRANK ROLLO,,354,,,,,,
Gloucester,Clayton Borough - District 2,COUNCIL - BOROUGH OF CLAYTON,,Write-ins,,3,,,,,,
Gloucester,Clayton Borough - District 2,BOARD OF EDUCATION - CLAYTON - 3YR TERM,,ROBIN L. ROCHE,,330,,,,,,
Gloucester,Clayton Borough - District 2,BOARD OF EDUCATION - CLAYTON - 3YR TERM,,ALLAN PAUL CONNELL,,303,,,,,,
Gloucester,Clayton Borough - District 2,BOARD OF EDUCATION - CLAYTON - 3YR TERM,,NO PETITION FILED,,0,,,,,,
Gloucester,Clayton Borough - District 2,BOARD OF EDUCATION - CLAYTON - 3YR TERM,,Write-ins,,32,,,,,,
Gloucester,Clayton Borough - District 3,Registered Voters,,,,1140,,,,,,
Gloucester,Clayton Borough - District 3,Ballots Cast,,,,812,462,132,205,13,0,0
Gloucester,Clayton Borough - District 3,Ballots Cast - Blank,,,,0,0,0,0,0,0,0
Gloucester,Clayton Borough - District 3,President,,DONALD J. TRUMP,,369,,,,,,
Gloucester,Clayton Borough - District 3,President,,KAMALA D. HARRIS,,422,,,,,,
Gloucester,Clayton Borough - District 3,President,,ROBERT F. KENNEDY JR.,,1,,,,,,
Gloucester,Clayton Borough - District 3,President,,RACHELE FRUIT,,0,,,,,,
Gloucester,Clayton Borough - District 3,President,,RANDALL A. TERRY,,1,,,,,,
Gloucester,Clayton Borough - District 3,President,,JOSEPH KISHORE,,0,,,,,,
Gloucester,Clayton Borough - District 3,President,,CLAUDIA DE LA CRUZ,,0,,,,,,
Gloucester,Clayton Borough - District 3,President,,JILL STEIN,,6,,,,,,
Gloucester,Clayton Borough - District 3,President,,CHASE OLIVER,,3,,,,,,
Gloucester,Clayton Borough - District 3,President,,Write-ins,,6,,,,,,
Gloucester,Clayton Borough - District 3,U.S. Senate,,CURTIS BASHAW,,324,,,,,,
Gloucester,Clayton Borough - District 3,U.S. Senate,,ANDY KIM,,438,,,,,,
Gloucester,Clayton Borough - District 3,U.S. Senate,,JOANNE KUNIANSKY,,2,,,,,,
Gloucester,Clayton Borough - District 3,U.S. Senate,,CHRISTINA KHALIL,,3,,,,,,
Gloucester,Clayton Borough - District 3,U.S. Senate,,KENNETH R. KAPLAN,,4,,,,,,
Gloucester,Clayton Borough - District 3,U.S. Senate,,PATRICIA G. MOONEYHAM,,1,,,,,,
Gloucester,Clayton Borough - District 3,U.S. Senate,,Write-ins,,1,,,,,,
Gloucester,Clayton Borough - District 3,U.S. House,2,JEFF VAN DREW,,356,,,,,,
Gloucester,Clayton Borough - District 3,U.S. House,2,JOSEPH F. SALERNO,,420,,,,,,
Gloucester,Clayton Borough - District 3,U.S. House,2,THOMAS CANNAVO,,7,,,,,,
Gloucester,Clayton Borough - District 3,U.S. House,2,Write-ins,,1,,,,,,
Gloucester,Clayton Borough - District 3,SHERIFF,,JONATHAN M. SAMMONS,,354,,,,,,
Gloucester,Clayton Borough - District 3,SHERIFF,,CARMEL MORINA,,418,,,,,,
Gloucester,Clayton Borough - District 3,SHERIFF,,Write-ins,,1,,,,,,
Gloucester,Clayton Borough - District 3,COUNTY COMMISSIONER,,NICHOLAS DESILVIO,,330,,,,,,
Gloucester,Clayton Borough - District 3,COUNTY COMMISSIONER,,CHRISTOPHER KONAWEL,,321,,,,,,
Gloucester,Clayton Borough - District 3,COUNTY COMMISSIONER,,TOM BIANCO,,461,,,,,,
Gloucester,Clayton Borough - District 3,COUNTY COMMISSIONER,,DON HEVERLY,,428,,,,,,
Gloucester,Clayton Borough - District 3,COUNTY COMMISSIONER,,Write-ins,,3,,,,,,
Gloucester,Clayton Borough - District 3,COUNCIL - BOROUGH OF CLAYTON,,RONALD PINCHICK,,296,,,,,,
Gloucester,Clayton Borough - District 3,COUNCIL - BOROUGH OF CLAYTON,,JAMES RICHARDSON,,303,,,,,,
Gloucester,Clayton Borough - District 3,COUNCIL - BOROUGH OF CLAYTON,,DAVID CHAPES,,476,,,,,,
Gloucester,Clayton Borough - District 3,COUNCIL - BOROUGH OF CLAYTON,,FRANK ROLLO,,473,,,,,,
Gloucester,Clayton Borough - District 3,COUNCIL - BOROUGH OF CLAYTON,,Write-ins,,1,,,,,,
Gloucester,Clayton Borough - District 3,BOARD OF EDUCATION - CLAYTON - 3YR TERM,,ROBIN L. ROCHE,,459,,,,,,
Gloucester,Clayton Borough - District 3,BOARD OF EDUCATION - CLAYTON - 3YR TERM,,ALLAN PAUL CONNELL,,425,,,,,,
Gloucester,Clayton Borough - District 3,BOARD OF EDUCATION - CLAYTON - 3YR TERM,,NO PETITION FILED,,0,,,,,,
Gloucester,Clayton Borough - District 3,BOARD OF EDUCATION - CLAYTON - 3YR TERM,,Write-ins,,42,,,,,,
Gloucester,Clayton Borough - District 4,Registered Voters,,,,1106,,,,,,
Gloucester,Clayton Borough - District 4,Ballots Cast,,,,805,396,147,246,16,0,0
Gloucester,Clayton Borough - District 4,Ballots Cast - Blank,,,,0,0,0,0,0,0,0
Gloucester,Clayton Borough - District 4,President,,DONALD J. TRUMP,,398,,,,,,
Gloucester,Clayton Borough - District 4,President,,KAMALA D. HARRIS,,377,,,,,,
Gloucester,Clayton Borough - District 4,President,,ROBERT F. KENNEDY JR.,,6,,,,,,
Gloucester,Clayton Borough - District 4,President,,RACHELE FRUIT,,0,,,,,,
Gloucester,Clayton Borough - District 4,President,,RANDALL A. TERRY,,3,,,,,,
Gloucester,Clayton Borough - District 4,President,,JOSEPH KISHORE,,0,,,,,,
Gloucester,Clayton Borough - District 4,President,,CLAUDIA DE LA CRUZ,,1,,,,,,
Gloucester,Clayton Borough - District 4,President,,JILL STEIN,,4,,,,,,
Gloucester,Clayton Borough - District 4,President,,CHASE OLIVER,,3,,,,,,
Gloucester,Clayton Borough - District 4,President,,Write-ins,,6,,,,,,
Gloucester,Clayton Borough - District 4,U.S. Senate,,CURTIS BASHAW,,363,,,,,,
Gloucester,Clayton Borough - District 4,U.S. Senate,,ANDY KIM,,384,,,,,,
Gloucester,Clayton Borough - District 4,U.S. Senate,,JOANNE KUNIANSKY,,4,,,,,,
Gloucester,Clayton Borough - District 4,U.S. Senate,,CHRISTINA KHALIL,,1,,,,,,
Gloucester,Clayton Borough - District 4,U.S. Senate,,KENNETH R. KAPLAN,,8,,,,,,
Gloucester,Clayton Borough - District 4,U.S. Senate,,PATRICIA G. MOONEYHAM,,3,,,,,,
Gloucester,Clayton Borough - District 4,U.S. Senate,,Write-ins,,5,,,,,,
Gloucester,Clayton Borough - District 4,U.S. House,2,JEFF VAN DREW,,380,,,,,,
Gloucester,Clayton Borough - District 4,U.S. House,2,JOSEPH F. SALERNO,,375,,,,,,
Gloucester,Clayton Borough - District 4,U.S. House,2,THOMAS CANNAVO,,9,,,,,,
Gloucester,Clayton Borough - District 4,U.S. House,2,Write-ins,,4,,,,,,
Gloucester,Clayton Borough - District 4,SHERIFF,,JONATHAN M. SAMMONS,,364,,,,,,
Gloucester,Clayton Borough - District 4,SHERIFF,,CARMEL MORINA,,392,,,,,,
Gloucester,Clayton Borough - District 4,SHERIFF,,Write-ins,,2,,,,,,
Gloucester,Clayton Borough - District 4,COUNTY COMMISSIONER,,NICHOLAS DESILVIO,,344,,,,,,
Gloucester,Clayton Borough - District 4,COUNTY COMMISSIONER,,CHRISTOPHER KONAWEL,,348,,,,,,
Gloucester,Clayton Borough - District 4,COUNTY COMMISSIONER,,TOM BIANCO,,431,,,,,,
Gloucester,Clayton Borough - District 4,COUNTY COMMISSIONER,,DON HEVERLY,,393,,,,,,
Gloucester,Clayton Borough - District 4,COUNTY COMMISSIONER,,Write-ins,,2,,,,,,
Gloucester,Clayton Borough - District 4,COUNCIL - BOROUGH OF CLAYTON,,RONALD PINCHICK,,339,,,,,,
Gloucester,Clayton Borough - District 4,COUNCIL - BOROUGH OF CLAYTON,,JAMES RICHARDSON,,334,,,,,,
Gloucester,Clayton Borough - District 4,COUNCIL - BOROUGH OF CLAYTON,,DAVID CHAPES,,420,,,,,,
Gloucester,Clayton Borough - District 4,COUNCIL - BOROUGH OF CLAYTON,,FRANK ROLLO,,426,,,,,,
Gloucester,Clayton Borough - District 4,COUNCIL - BOROUGH OF CLAYTON,,Write-ins,,2,,,,,,
Gloucester,Clayton Borough - District 4,BOARD OF EDUCATION - CLAYTON - 3YR TERM,,ROBIN L. ROCHE,,437,,,,,,
Gloucester,Clayton Borough - District 4,BOARD OF EDUCATION - CLAYTON - 3YR TERM,,ALLAN PAUL CONNELL,,413,,,,,,
Gloucester,Clayton Borough - District 4,BOARD OF EDUCATION - CLAYTON - 3YR TERM,,NO PETITION FILED,,0,,,,,,
Gloucester,Clayton Borough - District 4,BOARD OF EDUCATION - CLAYTON - 3YR TERM,,Write-ins,,57,,,,,,
Gloucester,Clayton Borough - District 5,Registered Voters,,,,880,,,,,,
Gloucester,Clayton Borough - District 5,Ballots Cast,,,,597,281,136,159,21,0,0
Gloucester,Clayton Borough - District 5,Ballots Cast - Blank,,,,1,1,0,0,0,0,0
Gloucester,Clayton Borough - District 5,President,,DONALD J. TRUMP,,176,,,,,,
Gloucester,Clayton Borough - District 5,President,,KAMALA D. HARRIS,,393,,,,,,
Gloucester,Clayton Borough - District 5,President,,ROBERT F. KENNEDY JR.,,10,,,,,,
Gloucester,Clayton Borough - District 5,President,,RACHELE FRUIT,,0,,,,,,
Gloucester,Clayton Borough - District 5,President,,RANDALL A. TERRY,,0,,,,,,
Gloucester,Clayton Borough - District 5,President,,JOSEPH KISHORE,,0,,,,,,
Gloucester,Clayton Borough - District 5,President,,CLAUDIA DE LA CRUZ,,1,,,,,,
Gloucester,Clayton Borough - District 5,President,,JILL STEIN,,3,,,,,,
Gloucester,Clayton Borough - District 5,President,,CHASE OLIVER,,1,,,,,,
Gloucester,Clayton Borough - District 5,President,,Write-ins,,2,,,,,,
Gloucester,Clayton Borough - District 5,U.S. Senate,,CURTIS BASHAW,,160,,,,,,
Gloucester,Clayton Borough - District 5,U.S. Senate,,ANDY KIM,,398,,,,,,
Gloucester,Clayton Borough - District 5,U.S. Senate,,JOANNE KUNIANSKY,,2,,,,,,
Gloucester,Clayton Borough - District 5,U.S. Senate,,CHRISTINA KHALIL,,6,,,,,,
Gloucester,Clayton Borough - District 5,U.S. Senate,,KENNETH R. KAPLAN,,3,,,,,,
Gloucester,Clayton Borough - District 5,U.S. Senate,,PATRICIA G. MOONEYHAM,,0,,,,,,
Gloucester,Clayton Borough - District 5,U.S. Senate,,Write-ins,,2,,,,,,
Gloucester,Clayton Borough - District 5,U.S. House,2,JEFF VAN DREW,,167,,,,,,
Gloucester,Clayton Borough - District 5,U.S. House,2,JOSEPH F. SALERNO,,400,,,,,,
Gloucester,Clayton Borough - District 5,U.S. House,2,THOMAS CANNAVO,,3,,,,,,
Gloucester,Clayton Borough - District 5,U.S. House,2,Write-ins,,3,,,,,,
Gloucester,Clayton Borough - District 5,SHERIFF,,JONATHAN M. SAMMONS,,165,,,,,,
Gloucester,Clayton Borough - District 5,SHERIFF,,CARMEL MORINA,,399,,,,,,
Gloucester,Clayton Borough - District 5,SHERIFF,,Write-ins,,2,,,,,,
Gloucester,Clayton Borough - District 5,COUNTY COMMISSIONER,,NICHOLAS DESILVIO,,168,,,,,,
Gloucester,Clayton Borough - District 5,COUNTY COMMISSIONER,,CHRISTOPHER KONAWEL,,160,,,,,,
Gloucester,Clayton Borough - District 5,COUNTY COMMISSIONER,,TOM BIANCO,,405,,,,,,
Gloucester,Clayton Borough - District 5,COUNTY COMMISSIONER,,DON HEVERLY,,401,,,,,,
Gloucester,Clayton Borough - District 5,COUNTY COMMISSIONER,,Write-ins,,4,,,,,,
Gloucester,Clayton Borough - District 5,COUNCIL - BOROUGH OF CLAYTON,,RONALD PINCHICK,,162,,,,,,
Gloucester,Clayton Borough - District 5,COUNCIL - BOROUGH OF CLAYTON,,JAMES RICHARDSON,,155,,,,,,
Gloucester,Clayton Borough - District 5,COUNCIL - BOROUGH OF CLAYTON,,DAVID CHAPES,,405,,,,,,
Gloucester,Clayton Borough - District 5,COUNCIL - BOROUGH OF CLAYTON,,FRANK ROLLO,,416,,,,,,
Gloucester,Clayton Borough - District 5,COUNCIL - BOROUGH OF CLAYTON,,Write-ins,,4,,,,,,
Gloucester,Clayton Borough - District 5,BOARD OF EDUCATION - CLAYTON - 3YR TERM,,ROBIN L. ROCHE,,301,,,,,,
Gloucester,Clayton Borough - District 5,BOARD OF EDUCATION - CLAYTON - 3YR TERM,,ALLAN PAUL CONNELL,,293,,,,,,
Gloucester,Clayton Borough - District 5,BOARD OF EDUCATION - CLAYTON - 3YR TERM,,NO PETITION FILED,,0,,,,,,
Gloucester,Clayton Borough - District 5,BOARD OF EDUCATION - CLAYTON - 3YR TERM,,Write-ins,,29,,,,,,
Gloucester,Clayton Borough - District 6,Registered Voters,,,,1120,,,,,,
Gloucester,Clayton Borough - District 6,Ballots Cast,,,,918,410,241,252,15,0,0
Gloucester,Clayton Borough - District 6,Ballots Cast - Blank,,,,0,0,0,0,0,0,0
Gloucester,Clayton Borough - District 6,President,,DONALD J. TRUMP,,453,,,,,,
Gloucester,Clayton Borough - District 6,President,,KAMALA D. HARRIS,,448,,,,,,
Gloucester,Clayton Borough - District 6,President,,ROBERT F. KENNEDY JR.,,3,,,,,,
Gloucester,Clayton Borough - District 6,President,,RACHELE FRUIT,,0,,,,,,
Gloucester,Clayton Borough - District 6,President,,RANDALL A. TERRY,,1,,,,,,
Gloucester,Clayton Borough - District 6,President,,JOSEPH KISHORE,,0,,,,,,
Gloucester,Clayton Borough - District 6,President,,CLAUDIA DE LA CRUZ,,0,,,,,,
Gloucester,Clayton Borough - District 6,President,,JILL STEIN,,3,,,,,,
Gloucester,Clayton Borough - District 6,President,,CHASE OLIVER,,3,,,,,,
Gloucester,Clayton Borough - District 6,President,,Write-ins,,2,,,,,,
Gloucester,Clayton Borough - District 6,U.S. Senate,,CURTIS BASHAW,,413,,,,,,
Gloucester,Clayton Borough - District 6,U.S. Senate,,ANDY KIM,,461,,,,,,
Gloucester,Clayton Borough - District 6,U.S. Senate,,JOANNE KUNIANSKY,,2,,,,,,
Gloucester,Clayton Borough - District 6,U.S. Senate,,CHRISTINA KHALIL,,4,,,,,,
Gloucester,Clayton Borough - District 6,U.S. Senate,,KENNETH R. KAPLAN,,1,,,,,,
Gloucester,Clayton Borough - District 6,U.S. Senate,,PATRICIA G. MOONEYHAM,,2,,,,,,
Gloucester,Clayton Borough - District 6,U.S. Senate,,Write-ins,,1,,,,,,
Gloucester,Clayton Borough - District 6,U.S. House,2,JEFF VAN DREW,,449,,,,,,
Gloucester,Clayton Borough - District 6,U.S. House,2,JOSEPH F. SALERNO,,438,,,,,,
Gloucester,Clayton Borough - District 6,U.S. House,2,THOMAS CANNAVO,,2,,,,,,
Gloucester,Clayton Borough - District 6,U.S. House,2,Write-ins,,1,,,,,,
Gloucester,Clayton Borough - District 6,SHERIFF,,JONATHAN M. SAMMONS,,432,,,,,,
Gloucester,Clayton Borough - District 6,SHERIFF,,CARMEL MORINA,,451,,,,,,
Gloucester,Clayton Borough - District 6,SHERIFF,,Write-ins,,1,,,,,,
Gloucester,Clayton Borough - District 6,COUNTY COMMISSIONER,,NICHOLAS DESILVIO,,421,,,,,,
Gloucester,Clayton Borough - District 6,COUNTY COMMISSIONER,,CHRISTOPHER KONAWEL,,410,,,,,,
Gloucester,Clayton Borough - District 6,COUNTY COMMISSIONER,,TOM BIANCO,,480,,,,,,
Gloucester,Clayton Borough - District 6,COUNTY COMMISSIONER,,DON HEVERLY,,451,,,,,,
Gloucester,Clayton Borough - District 6,COUNTY COMMISSIONER,,Write-ins,,2,,,,,,
Gloucester,Clayton Borough - District 6,COUNCIL - BOROUGH OF CLAYTON,,RONALD PINCHICK,,414,,,,,,
Gloucester,Clayton Borough - District 6,COUNCIL - BOROUGH OF CLAYTON,,JAMES RICHARDSON,,402,,,,,,
Gloucester,Clayton Borough - District 6,COUNCIL - BOROUGH OF CLAYTON,,DAVID CHAPES,,469,,,,,,
Gloucester,Clayton Borough - District 6,COUNCIL - BOROUGH OF CLAYTON,,FRANK ROLLO,,478,,,,,,
Gloucester,Clayton Borough - District 6,COUNCIL - BOROUGH OF CLAYTON,,Write-ins,,2,,,,,,
Gloucester,Clayton Borough - District 6,BOARD OF EDUCATION - CLAYTON - 3YR TERM,,ROBIN L. ROCHE,,535,,,,,,
Gloucester,Clayton Borough - District 6,BOARD OF EDUCATION - CLAYTON - 3YR TERM,,ALLAN PAUL CONNELL,,507,,,,,,
Gloucester,Clayton Borough - District 6,BOARD OF EDUCATION - CLAYTON - 3YR TERM,,NO PETITION FILED,,0,,,,,,
Gloucester,Clayton Borough - District 6,BOARD OF EDUCATION - CLAYTON - 3YR TERM,,Write-ins,,33,,,,,,
Gloucester,Deptford Township - District 1,Registered Voters,,,,1037,,,,,,
Gloucester,Deptford Township - District 1,Ballots Cast,,,,737,410,143,171,13,0,0
Gloucester,Deptford Township - District 1,Ballots Cast - Blank,,,,0,0,0,0,0,0,0
Gloucester,Deptford Township - District 1,President,,DONALD J. TRUMP,,354,,,,,,
Gloucester,Deptford Township - District 1,President,,KAMALA D. HARRIS,,368,,,,,,
Gloucester,Deptford Township - District 1,President,,ROBERT F. KENNEDY JR.,,4,,,,,,
Gloucester,Deptford Township - District 1,President,,RACHELE FRUIT,,1,,,,,,
Gloucester,Deptford Township - District 1,President,,RANDALL A. TERRY,,0,,,,,,
Gloucester,Deptford Township - District 1,President,,JOSEPH KISHORE,,0,,,,,,
Gloucester,Deptford Township - District 1,President,,CLAUDIA DE LA CRUZ,,0,,,,,,
Gloucester,Deptford Township - District 1,President,,JILL STEIN,,1,,,,,,
Gloucester,Deptford Township - District 1,President,,CHASE OLIVER,,3,,,,,,
Gloucester,Deptford Township - District 1,President,,Write-ins,,1,,,,,,
Gloucester,Deptford Township - District 1,U.S. Senate,,CURTIS BASHAW,,325,,,,,,
Gloucester,Deptford Township - District 1,U.S. Senate,,ANDY KIM,,374,,,,,,
Gloucester,Deptford Township - District 1,U.S. Senate,,JOANNE KUNIANSKY,,1,,,,,,
Gloucester,Deptford Township - District 1,U.S. Senate,,CHRISTINA KHALIL,,3,,,,,,
Gloucester,Deptford Township - District 1,U.S. Senate,,KENNETH R. KAPLAN,,1,,,,,,
Gloucester,Deptford Township - District 1,U.S. Senate,,PATRICIA G. MOONEYHAM,,0,,,,,,
Gloucester,Deptford Township - District 1,U.S. Senate,,Write-ins,,0,,,,,,
Gloucester,Deptford Township - District 1,U.S. House,1,"THEODORE ""TEDDY"" LIDDELL",,340,,,,,,
Gloucester,Deptford Township - District 1,U.S. House,1,DONALD NORCROSS,,358,,,,,,
Gloucester,Deptford Township - District 1,U.S. House,1,ROBIN BROWNFIELD,,4,,,,,,
Gloucester,Deptford Township - District 1,U.S. House,1,AUSTIN JOHNSON,,1,,,,,,
Gloucester,Deptford Township - District 1,U.S. House,1,Write-ins,,0,,,,,,
Gloucester,Deptford Township - District 1,SHERIFF,,JONATHAN M. SAMMONS,,334,,,,,,
Gloucester,Deptford Township - District 1,SHERIFF,,CARMEL MORINA,,364,,,,,,
Gloucester,Deptford Township - District 1,SHERIFF,,Write-ins,,2,,,,,,
Gloucester,Deptford Township - District 1,COUNTY COMMISSIONER,,NICHOLAS DESILVIO,,340,,,,,,
Gloucester,Deptford Township - District 1,COUNTY COMMISSIONER,,CHRISTOPHER KONAWEL,,329,,,,,,
Gloucester,Deptford Township - District 1,COUNTY COMMISSIONER,,TOM BIANCO,,362,,,,,,
Gloucester,Deptford Township - District 1,COUNTY COMMISSIONER,,DON HEVERLY,,370,,,,,,
Gloucester,Deptford Township - District 1,COUNTY COMMISSIONER,,Write-ins,,0,,,,,,
Gloucester,Deptford Township - District 1,BOARD OF EDUCATION - DEPTFORD - 3YR TERM,,JAMES P. MCDEVITT,,392,,,,,,
Gloucester,Deptford Township - District 1,BOARD OF EDUCATION - DEPTFORD - 3YR TERM,,MARK L. GETSINGER,,404,,,,,,
Gloucester,Deptford Township - District 1,BOARD OF EDUCATION - DEPTFORD - 3YR TERM,,JUSTIN H. GREEN,,415,,,,,,
